"","periodo","provincia","departamento","titulares","titulares_por2","mes","anio","mes_n"
"1192",2021-11-01,"Misiones","San Ignacio",332,664,"noviembre",2021,11
"1193",2021-02-01,"Misiones","General Manuel Belgrano",333,666,"febrero",2021,2
"1194",2021-03-01,"Misiones","General Manuel Belgrano",333,666,"marzo",2021,3
"1195",2021-10-01,"Misiones","Leandro N. Alem",334,668,"octubre",2021,10
"1196",2021-07-01,"Misiones","Leandro N. Alem",335,670,"julio",2021,7
"1197",2021-08-01,"Misiones","Leandro N. Alem",335,670,"agosto",2021,8
"1198",2021-09-01,"Misiones","Leandro N. Alem",335,670,"septiembre",2021,9
"1199",2021-12-01,"Misiones","San Ignacio",337,674,"diciembre",2021,12
"1200",2021-08-01,"Misiones","General Manuel Belgrano",338,676,"agosto",2021,8
"1201",2021-09-01,"Misiones","General Manuel Belgrano",338,676,"septiembre",2021,9
"1202",2021-07-01,"Misiones","General Manuel Belgrano",339,678,"julio",2021,7
"1203",2020-12-01,"Misiones","General Manuel Belgrano",340,680,"diciembre",2020,12
"1204",2021-04-01,"Misiones","General Manuel Belgrano",340,680,"abril",2021,4
"1205",2021-10-01,"Misiones","General Manuel Belgrano",341,682,"octubre",2021,10
"1206",2020-08-01,"Misiones","San Ignacio",342,684,"agosto",2020,8
"1207",2020-09-01,"Misiones","San Ignacio",342,684,"septiembre",2020,9
"1208",2021-09-01,"Misiones","Candelaria",342,684,"septiembre",2021,9
"1209",2021-08-01,"Misiones","Candelaria",343,686,"agosto",2021,8
"1210",2021-07-01,"Misiones","Candelaria",344,688,"julio",2021,7
"1211",2021-10-01,"Misiones","Candelaria",344,688,"octubre",2021,10
"1212",2021-11-01,"Misiones","Libertador General San Martín",344,688,"noviembre",2021,11
"1213",2020-07-01,"Misiones","Iguazú",347,694,"julio",2020,7
"1214",2020-06-01,"Misiones","Iguazú",348,696,"junio",2020,6
"1215",2020-04-01,"Misiones","Iguazú",349,698,"abril",2020,4
"1216",2020-03-01,"Misiones","Iguazú",350,700,"marzo",2020,3
"1217",2020-05-01,"Misiones","Iguazú",350,700,"mayo",2020,5
"1218",2020-07-01,"Misiones","San Ignacio",352,704,"julio",2020,7
"1219",2021-11-01,"Misiones","Candelaria",358,716,"noviembre",2021,11
